customer_id,first_name,last_name,phone,email,street,city,state,zip_code
1,Debra,Burks,,debra.burks@yahoo.com,9273 Thorne Ave. ,Orchard Park,New York,14127
2,Kasha,Todd,,kasha.todd@yahoo.com,910 Vine Street ,Campbell,California,95008
3,Tameka,Fisher,,tameka.fisher@aol.com,769C Honey Creek St. ,Redondo Beach,California,90278
4,Daryl,Spence,,daryl.spence@aol.com,988 Pearl Lane ,Uniondale,New York,11553
5,Charolette,Rice,(916) 381-6003,charolette.rice@msn.com,107 River Dr. ,Sacramento,California,95820
6,Lyndsey,Bean,,lyndsey.bean@hotmail.com,769 West Road ,Fairport,New York,14450
7,Latasha,Hays,(716) 986-3359,latasha.hays@hotmail.com,7014 Manor Station Rd. ,Buffalo,New York,14215
8,Jacquline,Duncan,,jacquline.duncan@yahoo.com,15 Brown St. ,Jackson Heights,New York,11372
9,Genoveva,Baldwin,,genoveva.baldwin@msn.com,8550 Spruce Drive ,Port Washington,New York,11050
10,Pamelia,Newman,,pamelia.newman@gmail.com,476 Chestnut Ave. ,Monroe,New York,10950
11,Deshawn,Mendoza,,deshawn.mendoza@yahoo.com,8790 Cobblestone Street ,Monsey,New York,10952
12,Robby,Sykes,(516) 583-7761,robby.sykes@hotmail.com,486 Rock Maple Street ,Hempstead,New York,11550
13,Lashawn,Ortiz,,lashawn.ortiz@msn.com,27 Washington Rd. ,Longview,Texas,75604
14,Garry,Espinoza,,garry.espinoza@hotmail.com,7858 Rockaway Court ,Forney,Texas,75126
15,Linnie,Branch,,linnie.branch@gmail.com,314 South Columbia Ave. ,Plattsburgh,New York,12901
16,Emmitt,Sanchez,(212) 945-8823,emmitt.sanchez@hotmail.com,461 Squaw Creek Road ,New York,New York,10002
17,Caren,Stephens,,caren.stephens@msn.com,914 Brook St. ,Scarsdale,New York,10583
18,Georgetta,Hardin,,georgetta.hardin@aol.com,474 Chapel Dr. ,Canandaigua,New York,14424
19,Lizzette,Stein,,lizzette.stein@yahoo.com,19 Green Hill Lane ,Orchard Park,New York,14127
20,Aleta,Shepard,,aleta.shepard@aol.com,684 Howard St. ,Sugar Land,Texas,77478
21,Tobie,Little,,tobie.little@gmail.com,10 Silver Spear Dr. ,Victoria,Texas,77904
22,Adelle,Larsen,,adelle.larsen@gmail.com,683 West Kirkland Dr. ,East Northport,New York,11731
23,Kaylee,English,,kaylee.english@msn.com,8786 Fulton Rd. ,Hollis,New York,11423
24,Corene,Wall,,corene.wall@msn.com,9601 Ocean Rd. ,Atwater,California,95301
25,Regenia,Vaughan,,regenia.vaughan@gmail.com,44 Stonybrook Street ,Mahopac,New York,10541
26,Theo,Reese,(562) 215-2907,theo.reese@gmail.com,8755 W. Wild Horse St. ,Long Beach,New York,11561
27,Santos,Valencia,,santos.valencia@yahoo.com,7479 Carpenter Street ,Sunnyside,New York,11104
28,Jeanice,Frost,,jeanice.frost@hotmail.com,76 Devon Lane ,Ossining,New York,10562
29,Syreeta,Hendricks,,syreeta.hendricks@msn.com,193 Spruce Road ,Mahopac,New York,10541
30,Jamaal,Albert,,jamaal.albert@gmail.com,853 Stonybrook Street ,Torrance,California,90505
31,Williemae,Holloway,(510) 246-8375,williemae.holloway@msn.com,69 Cypress St. ,Oakland,California,94603
32,Araceli,Golden,,araceli.golden@msn.com,12 Ridgeview Ave. ,Fullerton,California,92831
33,Deloris,Burke,,deloris.burke@hotmail.com,895 Edgemont Drive ,Palos Verdes Peninsula,California,90274
34,Brittney,Woodward,,brittney.woodward@aol.com,960 River St. ,East Northport,New York,11731
35,Guillermina,Noble,,guillermina.noble@msn.com,6 Del Monte Lane ,Baldwinsville,New York,13027
36,Bernita,Mcdaniel,,bernita.mcdaniel@hotmail.com,2 Peg Shop Ave. ,Liverpool,New York,13090
37,Melia,Brady,,melia.brady@gmail.com,907 Shirley Rd. ,Maspeth,New York,11378
38,Zelma,Browning,,zelma.browning@aol.com,296 Second Street ,Astoria,New York,11102
39,Janetta,Aguirre,(717) 670-2634,janetta.aguirre@aol.com,214 Second Court ,Lancaster,New York,14086
40,Ronna,Butler,,ronna.butler@gmail.com,9438 Plymouth Court ,Encino,California,91316
41,Kathie,Freeman,,kathie.freeman@msn.com,667 Temple Dr. ,Queensbury,New York,12804
42,Tangela,Quinn,,tangela.quinn@aol.com,4 S. Purple Finch Road ,Richmond Hill,New York,11418
43,Mozelle,Carter,(281) 489-9656,mozelle.carter@aol.com,895 Chestnut Ave. ,Houston,Texas,77016
44,Onita,Johns,,onita.johns@msn.com,32 Glen Creek Lane ,Elmont,New York,11003
45,Bennett,Armstrong,,bennett.armstrong@aol.com,688 Walnut Street ,Bethpage,New York,11714
46,Monika,Berg,,monika.berg@gmail.com,369 Vernon Dr. ,Encino,California,91316
47,Bridgette,Guerra,,bridgette.guerra@hotmail.com,9982 Manor Drive ,San Lorenzo,California,94580
48,Cesar,Jackson,,cesar.jackson@gmail.com,8068 N. Griffin Ave. ,Liverpool,New York,13090
49,Caroll,Hays,,caroll.hays@yahoo.com,9381 Wrangler St. ,Fairport,New York,14450
50,Cleotilde,Booth,,cleotilde.booth@gmail.com,17 Corona St. ,Sugar Land,Texas,77478
51,Gertrud,Rhodes,,gertrud.rhodes@aol.com,9961 Meadowbrook Street ,Merrick,New York,11566
52,Tu,Ramirez,,tu.ramirez@hotmail.com,24 W. Courtland Street ,East Elmhurst,New York,11369
53,Saturnina,Garner,,saturnina.garner@gmail.com,8538 Fairground St. ,Glendora,California,91740
54,Fran,Yang,,fran.yang@hotmail.com,440 Pearl St. ,Utica,New York,13501
55,Diana,Guerra,,diana.guerra@hotmail.com,45 Chapel Ave. ,Merrick,New York,11566
56,Lolita,Mosley,(281) 363-3309,lolita.mosley@hotmail.com,376 S. High Ridge St. ,Houston,Texas,77016
57,Pamala,Henry,,pamala.henry@aol.com,197 Bridgeton Ave. ,Bronx,New York,10451
58,Damien,Dorsey,,damien.dorsey@yahoo.com,161 Old York Street ,Central Islip,New York,11722
59,Latasha,Stanley,,latasha.stanley@gmail.com,8068 Fordham Drive ,Rockville Centre,New York,11570
60,Neil,Mccall,,neil.mccall@gmail.com,7476 Oakland Dr. ,San Carlos,California,94070
61,Elinore,Aguilar,,elinore.aguilar@msn.com,9766 Rockcrest Ave. ,San Angelo,Texas,76901
62,Alica,Hunter,,alica.hunter@hotmail.com,8 San Juan Drive ,East Elmhurst,New York,11369
63,Tenisha,Lyons,,tenisha.lyons@aol.com,78 E. Rock Creek Street ,Amityville,New York,11701
64,Bobbie,Foster,,bobbie.foster@yahoo.com,988 Pineknoll Ave. ,Desoto,Texas,75115
65,Kanesha,Vega,,kanesha.vega@gmail.com,771 E. Oxford Drive ,Rome,New York,13440
66,Lorrie,Becker,,lorrie.becker@yahoo.com,19 North Court ,Garland,Texas,75043
67,Tommie,Melton,(916) 802-2952,tommie.melton@gmail.com,8 West Old York St. ,Sacramento,California,95820
68,Jayne,Kirkland,,jayne.kirkland@hotmail.com,7800 Second Lane ,Rowlett,Texas,75088
69,Katelin,Kennedy,,katelin.kennedy@gmail.com,286 Myrtle Lane ,Rocklin,California,95677
70,Tomasa,Carson,,tomasa.carson@aol.com,10 Clark Avenue ,East Elmhurst,New York,11369
71,Takako,Casey,,takako.casey@aol.com,7548 Court Lane ,Bronx,New York,10451
72,Petronila,Norris,,petronila.norris@aol.com,72 South Marshall Lane ,South El Monte,California,91733
73,Melanie,Hayes,,melanie.hayes@msn.com,5 N. Hall Dr. ,Liverpool,New York,13090
74,Georgeann,Waller,,georgeann.waller@yahoo.com,9797 Bald Hill Ave. ,North Tonawanda,New York,14120
75,Abby,Gamble,,abby.gamble@aol.com,60 Myers Dr. ,Amityville,New York,11701
76,Parker,Prince,,parker.prince@hotmail.com,21 Sulphur Springs Drive ,Port Jefferson Station,New York,11776
77,Keri,Bridges,,keri.bridges@gmail.com,8504 Brickell Ave. ,Richardson,Texas,75080
78,Chi,Goff,,chi.goff@aol.com,3 W. Glen Ridge Avenue ,Palos Verdes Peninsula,California,90274
79,Ashanti,Parks,,ashanti.parks@hotmail.com,846 N. Helen St. ,Baldwin,New York,11510
80,Sarai,Mckee,(716) 912-8110,sarai.mckee@msn.com,641 Glenwood Avenue ,Buffalo,New York,14215
81,Zina,Bonner,,zina.bonner@hotmail.com,9312 8th Street ,San Lorenzo,California,94580
82,Lizzie,Joyner,,lizzie.joyner@msn.com,8541 Roberts St. ,Coachella,California,92236
83,Tiesha,Daniel,,tiesha.daniel@yahoo.com,6 West Bohemia Lane ,Scarsdale,New York,10583
84,Armand,Whitehead,,armand.whitehead@hotmail.com,639 Harvey St. ,Lindenhurst,New York,11757
85,Teofila,Fischer,,teofila.fischer@aol.com,1 West Brickyard St. ,Huntington Station,New York,11746
86,Lissa,Vargas,,lissa.vargas@yahoo.com,517 Victoria Ave. ,Oswego,New York,13126
87,Yan,Mcgowan,,yan.mcgowan@msn.com,8960 Newport Ave. ,Duarte,California,91010
88,Titus,Bullock,,titus.bullock@gmail.com,29 Oxford Avenue ,Hollis,New York,11423
89,Arvilla,Osborn,,arvilla.osborn@gmail.com,60 Acacia Lane ,Upland,California,91784
90,Marjorie,Logan,,marjorie.logan@msn.com,95 Grandrose St. ,Franklin Square,New York,11010
91,Marvin,Mullins,(619) 635-2027,marvin.mullins@aol.com,7489 Redwood Drive ,San Diego,California,92111
92,Tena,Cruz,,tena.cruz@yahoo.com,1 South St. ,Farmingdale,New York,11735
93,Corrina,Sawyer,(248) 370-1364,corrina.sawyer@yahoo.com,95 Briarwood Lane ,Troy,New York,12180
94,Sharyn,Hopkins,,sharyn.hopkins@hotmail.com,4 South Temple Ave. ,Baldwinsville,New York,13027
95,Letitia,Franco,,letitia.franco@aol.com,607 Lakeview Drive ,Saratoga Springs,New York,12866
96,Floretta,Higgins,,floretta.higgins@hotmail.com,870 Lilac Dr. ,Bayside,New York,11361
97,Louanne,Martin,,louanne.martin@hotmail.com,1 Campfire Ave. ,Yuba City,California,95993
98,Violet,Valenzuela,,violet.valenzuela@msn.com,8668 Piper Street ,Plattsburgh,New York,12901
99,Carie,Kidd,,carie.kidd@yahoo.com,6 East Clinton Street ,Monroe,New York,10950
100,Kellie,Franco,,kellie.franco@yahoo.com,444 South Walnut Rd. ,Commack,New York,11725
101,Nichelle,Howell,,nichelle.howell@aol.com,7670 Forest St. ,Scarsdale,New York,10583
102,Marisol,Goodman,,marisol.goodman@gmail.com,864 East Cherry St. ,Canandaigua,New York,14424
103,Sylvie,Wilkerson,,sylvie.wilkerson@yahoo.com,750 Central Ave. ,Syosset,New York,11791
104,Katharina,Bates,,katharina.bates@gmail.com,54 South Greenview Drive ,Campbell,California,95008
105,Marget,Hodge,,marget.hodge@msn.com,7199 Selby Lane ,Woodhaven,New York,11421
106,Raul,Melendez,,raul.melendez@hotmail.com,9772 Manhattan St. ,Elmhurst,New York,11373
107,Cecil,Hopper,,cecil.hopper@yahoo.com,471 Glenlake Ave. ,Central Islip,New York,11722
108,Shae,Hickman,,shae.hickman@hotmail.com,740 Pin Oak Street ,Floral Park,New York,11001
109,Monica,Sears,(408) 704-8863,monica.sears@aol.com,57 Glenholme St. ,San Jose,California,95127
110,Ollie,Zimmerman,(657) 648-2863,ollie.zimmerman@yahoo.com,69 Wood Rd. ,Anaheim,California,92806
111,Shila,White,,shila.white@msn.com,94 Lakeshore Street ,Orchard Park,New York,14127
112,Yuk,Vega,,yuk.vega@yahoo.com,413 Wood St. ,West Hempstead,New York,11552
113,Eliana,Silva,,eliana.silva@gmail.com,7119 Summer Rd. ,Farmingdale,New York,11735
114,Thalia,Horne,,thalia.horne@yahoo.com,9312 Harvard Street ,Amityville,New York,11701
115,Rey,Lindsay,,rey.lindsay@gmail.com,16 Philmont St. ,Monroe,New York,10950
116,Merlene,Vinson,,merlene.vinson@gmail.com,431 Vine Dr. ,Euless,Texas,76039
117,Dacia,William,,dacia.william@msn.com,62 Cypress Drive ,Sugar Land,Texas,77478
118,Le,Wood,,le.wood@yahoo.com,90 Primrose Dr. ,Pittsford,New York,14534
119,Thalia,Dillard,,thalia.dillard@yahoo.com,987 NE. Gates Street ,San Angelo,Texas,76901
120,Luz,House,(559) 114-2580,luz.house@gmail.com,491 Railroad Street ,Fresno,California,93706
121,Lucy,Woods,,lucy.woods@gmail.com,8437 West Rockaway St. ,Palos Verdes Peninsula,California,90274
122,Shena,Carter,,shena.carter@yahoo.com,72 University Road ,Howard Beach,New York,11414
123,Robena,Hill,(361) 598-4414,robena.hill@hotmail.com,263 Cross St. ,Corpus Christi,Texas,78418
124,Jeni,Booker,,jeni.booker@gmail.com,546 Railroad Dr. ,South El Monte,California,91733
125,Herlinda,Stone,,herlinda.stone@msn.com,725 Gulf St. ,Canandaigua,New York,14424
126,Lavina,Dejesus,,lavina.dejesus@msn.com,59 E. Valley Avenue ,Newburgh,New York,12550
127,Erlinda,Nielsen,,erlinda.nielsen@aol.com,728 Oxford Lane ,Maspeth,New York,11378
128,Terrance,Lynn,,terrance.lynn@yahoo.com,91 East Buckingham Drive ,Plattsburgh,New York,12901
129,Walton,Dejesus,,walton.dejesus@yahoo.com,15 Washington Rd. ,Lockport,New York,14094
130,Wes,Stanton,(248) 247-5074,wes.stanton@msn.com,8662 Tunnel Street ,Troy,New York,12180
131,Tanesha,Hampton,,tanesha.hampton@hotmail.com,19 Belmont Ave. ,Syosset,New York,11791
132,Boyd,Irwin,,boyd.irwin@hotmail.com,221 Whitemarsh St. ,Hamburg,New York,14075
133,Delbert,Wilkins,,delbert.wilkins@aol.com,420 Greenview St. ,Coram,New York,11727
134,Brianna,Moss,(516) 156-8031,brianna.moss@msn.com,4 Longfellow St. ,Hempstead,New York,11550
135,Dorthey,Jackson,(281) 926-8010,dorthey.jackson@msn.com,9768 Brookside St. ,Houston,Texas,77016
136,Sarita,Parks,,sarita.parks@msn.com,7809 Second Lane ,Forney,Texas,75126
137,Shonta,Mercer,,shonta.mercer@aol.com,319 NE. La Sierra Avenue ,Massapequa,New York,11758
138,Jone,Bernard,(657) 536-5165,jone.bernard@hotmail.com,99 Longbranch Court ,Anaheim,California,92806
139,Wanita,Davenport,,wanita.davenport@aol.com,525 Dogwood Ave. ,Spring Valley,New York,10977
140,Cleopatra,Tate,,cleopatra.tate@aol.com,97 N. Glenwood St. ,East Elmhurst,New York,11369
141,Ramiro,Byers,,ramiro.byers@gmail.com,16 Pleasant St. ,Saint Albans,New York,11412
142,Nicholas,Vazquez,,nicholas.vazquez@hotmail.com,9 Roosevelt Street ,West Hempstead,New York,11552
143,Janae,Doyle,,janae.doyle@gmail.com,760 Rose Ave. ,Jackson Heights,New York,11372
144,Hans,Price,,hans.price@hotmail.com,51 Glendale Road ,Port Chester,New York,10573
145,Miquel,Neal,,miquel.neal@hotmail.com,9564 Deerfield Lane ,Staten Island,New York,10301
146,Stefany,Potter,,stefany.potter@gmail.com,256 South Academy St. ,Saratoga Springs,New York,12866
147,Bernetta,Marquez,,bernetta.marquez@hotmail.com,626 E. Dunbar Street ,Smithtown,New York,11787
148,Julee,Woodard,,julee.woodard@yahoo.com,869 Summerhouse Dr. ,Richmond Hill,New York,11418
149,Meredith,Bryan,,meredith.bryan@hotmail.com,8935 E. Oxford St. ,Spring Valley,New York,10977
150,Weldon,Michael,,weldon.michael@hotmail.com,9952 Nut Swamp St. ,Huntington,New York,11743
151,Joesph,Delacruz,,joesph.delacruz@aol.com,184 Cypress Street ,Atwater,California,95301
152,Katherina,Odom,,katherina.odom@yahoo.com,897 N. Oak Drive ,Plainview,New York,11803
153,Laraine,Robbins,,laraine.robbins@yahoo.com,8214 E. Pin Oak Lane ,San Angelo,Texas,76901
154,Jenise,Preston,,jenise.preston@yahoo.com,9 Littleton Drive ,Helotes,Texas,78023
155,Lory,Page,,lory.page@hotmail.com,58 Summerhouse Street ,Bay Shore,New York,11706
156,Charlyn,Cantrell,,charlyn.cantrell@yahoo.com,8756 Euclid St. ,West Islip,New York,11795
157,Carola,Rodriquez,,carola.rodriquez@hotmail.com,9433 Heritage Lane ,Banning,California,92220
158,Alane,Kennedy,,alane.kennedy@yahoo.com,34 Green Lake Street ,Spring Valley,New York,10977
159,Regina,Burns,,regina.burns@aol.com,713 Buckingham St. ,Garland,Texas,75043
160,Omer,Estrada,,omer.estrada@gmail.com,9 Honey Creek Street ,Rowlett,Texas,75088
161,Crystle,Gilliam,,crystle.gilliam@yahoo.com,86 Edgewater Road ,Smithtown,New York,11787
162,Kam,Wilder,,kam.wilder@hotmail.com,500 West Clay Ave. ,Newburgh,New York,12550
163,Margert,Stevens,,margert.stevens@aol.com,502 North Poplar St. ,Rome,New York,13440
164,Tomika,Larson,,tomika.larson@yahoo.com,254 Canal St. ,Woodside,New York,11377
165,Jeromy,Burch,(408) 955-8238,jeromy.burch@msn.com,889 Mulberry Street ,San Jose,California,95127
166,Lena,Mills,,lena.mills@yahoo.com,42 Homestead St. ,Woodhaven,New York,11421
167,Loreta,Johnston,,loreta.johnston@yahoo.com,39 Lafayette Dr. ,Spring Valley,New York,10977
168,Nettie,Mcdaniel,,nettie.mcdaniel@hotmail.com,7004 E. Wakehurst St. ,South Ozone Park,New York,11420
169,Karla,Kirk,,karla.kirk@yahoo.com,9718 Harvard Rd. ,Palos Verdes Peninsula,California,90274
170,Regine,Gonzales,(805) 763-4045,regine.gonzales@gmail.com,798 Court Drive ,Oxnard,California,93035
171,Miriam,Baker,,miriam.baker@hotmail.com,90 Studebaker St. ,Uniondale,New York,11553
172,Jeanie,Kirkland,,jeanie.kirkland@aol.com,7643 Old Theatre St. ,Santa Clara,California,95050
173,Marquerite,Dawson,,marquerite.dawson@gmail.com,37 Hamilton Court ,Garland,Texas,75043
174,Babara,Ochoa,,babara.ochoa@aol.com,872 Smith Store St. ,Scarsdale,New York,10583
175,Nova,Hess,,nova.hess@msn.com,773 South Lafayette St. ,Duarte,California,91010
176,Carley,Reynolds,,carley.reynolds@gmail.com,2 Snake Hill Drive ,South El Monte,California,91733
177,Carissa,Foreman,,carissa.foreman@msn.com,69C N. Ridge Rd. ,Maspeth,New York,11378
178,Genoveva,Tyler,(212) 152-6381,genoveva.tyler@gmail.com,8121 Windfall Ave. ,New York,New York,10002
